id_task	name	description	status	order	started	due	completed	id_project	id_scrumuser	id_sprint
1	Camadas de Interseção e de Diferença	Passar para Jéssica algumas atividades no QGIS, como a camada de interseção e diferença entre camadas de vias e eixos de logradouro do município de Goianira.	4		2018-01-26	2018-01-26		1	7	
3	Desenvolver app Hyper Visualizer		2		2018-01-31			2	6	
4	Criação do frontend do sig administrativo versão 0.1a	Consiste em criar a primeira versão 0.1 da parte visual do sig adm com funcionalidades básicas CRUD	4		2018-01-10	2018-01-12			6	
5	Criação do frontend da aplicação adesão	CRUD	4		2017-10-10	2017-10-17			6	
7	Criar curso de python com gis		1		2018-01-01	2018-01-31			8	
8	Atualizar documento para capacitação da INDE		4		2017-12-20	2017-12-20			8	
9	Backup de scripts	Backup de scripts de tabelas e views do banco de dados "gis", do servidor "postgis-osm-2017-06-30" do PostgreSQL, com a finalidade de recuperação dos dados em caso de perda.	4		2018-02-05	2018-02-05		1	7	
10	Criar paper para Autocarto 2018	Criar paper de 1500 palavras para Autocarto 2018  correspondente a versão inicial. Após a data fechar o paper na versão	4		2018-02-06	2018-02-15			8	
11	Estudo de SGBD (Introdução a BD)	Introdução ao conteúdo teórico de SGBD	4		2018-02-05	2018-02-15		8	9	
12	Criar operação count nas classes de coleção do Hyper-resource	consiste em mostrar quantos elementos uma coleção tem	4		2018-02-06	2018-02-07		9	5	
13	Alterar as classes de contexto para a a operação count das classes de coleção de maneira genérica	Alterar as classes de contexto para a a operação count das classes de coleção de maneira genérica	4		2018-02-08	2018-02-08		9	5	
14	Criação de um método/atributo chamado representation_name  na classe ou subaclasse de ContextResource que aponta para um atributo que descreve o recurso como um todo	Retorna a descrição da representação de um recurso através de um atributo do recurso	4		2018-02-15	2018-02-16		9	5	
15	Revisão e atualização do EGTI	Revisão e atualização do EGTI para a DGC	2		2018-02-02	2018-02-22			8	
16	Interseção entre vias de Goianira	Ajuste no projeto de interseção de dados da base de dados do OSM e a base de dados da Quadra Fase, especificamente as vias da cidade de Goianira, no aplicativo QGIS. Visualmente a interseção está em desacordo.	4		2018-02-06	2018-03-16		1	7	
17	Edição de informações do usuário logado	Permitir o a atualização do profile do usuário logado	4		2018-02-07	2018-02-07		5	6	
18	Inclusão de sprint na tarefa	Poder escolher no cadastramento da tarefa o sprint  desejado. Caso seja escolhido um sprint a data de início e fim da tarefa precisa estar contida  no início e fim do sprint	1		2018-02-20	2018-02-20		5	6	
19	Criação da operação offset_limit para classe AbstractCollectionResource	Este método permitirá o controle da quantidade de elementos que uma coleção de recurso retorna. Offset é o deslocamento e o limit a quantidade a partir do offset	4		2018-02-07	2018-02-07		9	5	
20	Alteração da operação count nas classes de coleção do Hyper-resource	consiste em mostrar quantos elementos uma coleção tem	4		2018-02-07	2018-02-07			8	
21	Inclusão do mapnik no hyper-resource para geraração de imagens - básico	Inclusão do mapnik para gerar imagens a partir de vetores	4		2018-01-09	2018-02-12			8	
22	Relatório de Mapeamento Colaborativo	Desenvolvimento de um relatório sobre todo o meu aprendizado na atividade específica de mapeamento colaborativo.	2		2018-02-07			1	7	
23	Servir container python-osm-2017-06-30 via Nginx	Consiste na criação de um arquivo de configuração .conf  do Nginx para servir, via proxy reverso, o container Docker que armazena o projeto OpenStreetMap	4		2018-02-07	2018-02-07		7	5	
24	Alteração de scripts para geração de código do Hyper Resource	Consiste em manutenção nos  scripts para a geração automática de código de Web Apis sem a necessidade de alteração posterior no código	4		2018-01-19	2018-01-31		9	5	
25	Configuração de script para inclusão no Nginx da api munic-2015	Consiste em alterar o ambiente do servidor http nginx para acomodar como proxy reverso a api muni-2015	4		2018-01-01	2018-01-19			5	
26	Gerar container do aplicativo adesão da INDE	Consiste na criação de um container Docker para o projeto de controle de adesao da INDE	4		2017-12-13	2017-12-13		10	8	
27	Refatoração dos arquivos de configuração do Nginx	Consiste na refatoração dos arquivos de configuração do Nginx para que cada projeto servido por ele tenha seu próprio arquivo .conf	4		2018-01-19	2018-01-19			5	
28	função groupby	Permitir o uso de groupby no hyperresource	4		2018-02-19	2018-02-19		9	8	
29	função groupbycount	Permitir o uso de groupbycount no hyperresource	4		2018-02-19	2018-02-19		9	8	
